id,name,age,city,salary,department,performance_score,join_date
459,Charlie,38,New York,93463,HR,3.43,2016-04-03
460,Charlie,57,New York,66572,Sales,2.66,2016-04-04
461,Bob,48,Dallas,57948,Finance,2.52,2016-04-05
462,Eva,63,Los Angeles,78826,Finance,2.53,2016-04-06
463,Frank,53,Phoenix,67867,IT,3.36,2016-04-07
464,Alice,28,New York,100231,Finance,3.59,2016-04-08
465,David,32,Dallas,106262,HR,2.81,2016-04-09
466,Grace,36,New York,112233,Finance,4.87,2016-04-10
467,Helen,24,Dallas,84678,Finance,1.34,2016-04-11
468,Alice,45,Phoenix,52963,Marketing,2.39,2016-04-12
469,Eva,60,Dallas,104360,HR,2.68,2016-04-13
470,David,22,Chicago,89434,Support,1.07,2016-04-14
471,Eva,22,Dallas,106617,Finance,2.46,2016-04-15
472,Helen,47,Dallas,60269,Finance,2.09,2016-04-16
473,Charlie,49,San Diego,116312,Sales,3.02,2016-04-17
474,David,25,Phoenix,119732,Finance,2.35,2016-04-18
475,Charlie,27,San Diego,117225,Finance,3.9,2016-04-19
476,Helen,55,Dallas,77528,Marketing,3.04,2016-04-20
477,Alice,64,Phoenix,118972,HR,1.52,2016-04-21
478,Helen,49,Chicago,105602,IT,4.0,2016-04-22
479,Alice,45,Phoenix,73332,HR,1.4,2016-04-23
480,David,34,New York,118929,Sales,4.36,2016-04-24
481,David,48,San Diego,109206,HR,4.73,2016-04-25
482,Frank,25,Phoenix,42251,Finance,2.29,2016-04-26
483,Eva,57,Chicago,85717,Sales,4.7,2016-04-27
484,Frank,42,Houston,67027,HR,4.17,2016-04-28
485,Eva,26,Dallas,49583,Sales,4.69,2016-04-29
486,Frank,19,Phoenix,90387,IT,3.67,2016-04-30
487,Charlie,32,Dallas,63104,HR,1.94,2016-05-01
488,David,20,Los Angeles,52224,Support,4.58,2016-05-02
489,Alice,53,New York,100624,Finance,1.74,2016-05-03
490,Eva,21,San Diego,96058,Sales,1.85,2016-05-04
491,Helen,31,New York,69299,Support,2.08,2016-05-05
492,Eva,58,Los Angeles,118572,Support,2.22,2016-05-06
493,Alice,58,Los Angeles,117928,Marketing,3.06,2016-05-07
494,Frank,42,San Diego,113474,Sales,3.85,2016-05-08
495,Eva,27,Phoenix,44141,Support,4.7,2016-05-09
496,Grace,38,Los Angeles,63350,Marketing,1.35,2016-05-10
497,Charlie,53,Houston,115082,Support,4.82,2016-05-11
498,David,29,Dallas,110871,Finance,4.69,2016-05-12
499,Alice,44,Dallas,45077,IT,1.22,2016-05-13
500,David,57,Chicago,86015,Marketing,2.44,2016-05-14
501,Grace,19,Los Angeles,111147,IT,4.25,2016-05-15
502,Eva,30,Los Angeles,99180,Sales,3.45,2016-05-16
503,Eva,49,Houston,80857,Finance,4.12,2016-05-17
504,Helen,48,New York,99840,Marketing,3.88,2016-05-18
505,Grace,33,New York,99902,Sales,2.99,2016-05-19
506,Alice,49,Dallas,45577,Support,1.16,2016-05-20
507,Helen,49,Dallas,60002,HR,3.34,2016-05-21
508,Charlie,51,Phoenix,90711,Sales,1.19,2016-05-22
509,Helen,28,San Diego,79451,IT,3.41,2016-05-23
510,Bob,27,Houston,89103,Finance,4.2,2016-05-24
511,Alice,32,San Diego,68647,Finance,3.34,2016-05-25
512,Bob,34,San Diego,74831,Sales,4.99,2016-05-26
513,Grace,57,Chicago,106830,Support,2.82,2016-05-27
514,Frank,35,San Diego,76833,HR,4.0,2016-05-28
515,Bob,26,Chicago,64398,IT,3.67,2016-05-29
516,Charlie,42,San Diego,101554,Sales,4.97,2016-05-30
517,Helen,57,Houston,90755,Sales,3.85,2016-05-31
518,Frank,31,Chicago,57706,Finance,1.66,2016-06-01
519,Helen,42,New York,62340,IT,4.82,2016-06-02
520,Bob,39,Chicago,104994,HR,3.67,2016-06-03
521,Helen,47,Chicago,103884,Finance,1.24,2016-06-04
522,Grace,37,Houston,57482,Sales,3.63,2016-06-05
523,Frank,38,Houston,94225,Finance,4.53,2016-06-06
524,Grace,61,Chicago,98849,Finance,3.31,2016-06-07
525,Bob,49,Los Angeles,114854,Marketing,2.42,2016-06-08
526,Grace,63,Houston,81256,Finance,4.28,2016-06-09
527,Charlie,38,Phoenix,54650,Support,4.13,2016-06-10
528,Bob,52,Phoenix,86118,Finance,3.18,2016-06-11
529,Bob,49,New York,68930,Support,1.62,2016-06-12
530,Bob,47,San Diego,51801,IT,2.0,2016-06-13
531,Alice,56,Chicago,91360,Finance,3.95,2016-06-14
532,Helen,29,Los Angeles,56559,HR,4.22,2016-06-15
533,Alice,58,New York,72334,Support,2.12,2016-06-16
534,Alice,64,Chicago,53288,Support,2.47,2016-06-17
535,Charlie,35,Houston,62398,Sales,1.31,2016-06-18
536,Frank,38,Phoenix,116230,IT,3.85,2016-06-19
537,Helen,30,Dallas,52191,Finance,1.01,2016-06-20
538,Grace,38,Los Angeles,58051,HR,1.19,2016-06-21
539,Eva,25,Dallas,101715,Sales,1.02,2016-06-22
540,Bob,63,Phoenix,50737,IT,3.58,2016-06-23
541,Grace,57,San Diego,105140,Support,2.67,2016-06-24
542,Bob,63,San Diego,65251,HR,2.19,2016-06-25
543,Charlie,24,Dallas,90975,Finance,4.65,2016-06-26
544,Bob,40,Houston,45147,Marketing,1.77,2016-06-27
545,Alice,61,Chicago,90508,Marketing,2.56,2016-06-28
546,Helen,49,Houston,92224,IT,4.76,2016-06-29
547,Eva,28,Dallas,59643,HR,2.71,2016-06-30
548,David,39,Houston,78967,Sales,3.22,2016-07-01
549,Bob,39,Phoenix,80733,HR,1.32,2016-07-02
550,Grace,60,Los Angeles,74808,Support,4.16,2016-07-03
551,Alice,42,Houston,107288,Marketing,2.69,2016-07-04
552,David,39,Phoenix,98959,IT,4.2,2016-07-05
553,Eva,45,Los Angeles,41849,Finance,2.02,2016-07-06
554,David,46,San Diego,108178,HR,2.69,2016-07-07
555,Alice,30,Chicago,107136,Marketing,4.15,2016-07-08
556,Helen,35,Dallas,100740,Sales,4.9,2016-07-09
557,Helen,19,San Diego,84565,IT,1.24,2016-07-10
558,Frank,46,Chicago,60183,Finance,4.25,2016-07-11
559,Helen,38,San Diego,41132,HR,2.2,2016-07-12
560,Frank,32,New York,78259,Sales,3.2,2016-07-13
561,David,44,San Diego,103668,Finance,2.16,2016-07-14
562,Charlie,48,Phoenix,78563,Support,3.45,2016-07-15
563,Grace,32,Los Angeles,50931,Marketing,2.42,2016-07-16
564,Grace,40,San Diego,113169,Support,2.33,2016-07-17
565,David,41,Houston,90639,Marketing,1.15,2016-07-18
566,Bob,61,Chicago,98901,Sales,1.59,2016-07-19
567,Bob,30,San Diego,41044,Support,4.67,2016-07-20
568,Helen,39,Los Angeles,86691,Marketing,4.99,2016-07-21
569,Grace,60,Phoenix,64363,IT,4.12,2016-07-22
570,Grace,54,New York,86694,Sales,2.15,2016-07-23
571,Frank,50,Chicago,41582,Marketing,2.61,2016-07-24
572,Charlie,20,Dallas,119910,HR,3.96,2016-07-25
573,Alice,36,Los Angeles,106844,Marketing,4.87,2016-07-26
574,Bob,40,Dallas,61301,Support,2.82,2016-07-27
575,Grace,46,Los Angeles,114329,IT,4.32,2016-07-28
576,Frank,47,Los Angeles,41620,Finance,4.9,2016-07-29
577,Eva,56,Phoenix,102224,Finance,4.49,2016-07-30
578,Frank,61,Phoenix,96655,Marketing,1.91,2016-07-31
579,Bob,64,Phoenix,77534,Finance,1.03,2016-08-01
580,Bob,42,San Diego,79390,Marketing,2.97,2016-08-02
581,Frank,54,Houston,111629,IT,3.13,2016-08-03
582,Alice,64,Los Angeles,95856,Finance,1.81,2016-08-04
583,David,25,Chicago,89252,Support,2.14,2016-08-05
584,Bob,59,Dallas,95809,Support,4.06,2016-08-06
585,Frank,33,Phoenix,62259,HR,2.88,2016-08-07
586,Grace,25,San Diego,60655,Marketing,2.27,2016-08-08
587,Frank,18,Phoenix,73005,Finance,3.49,2016-08-09
588,Charlie,61,Dallas,71629,Support,3.61,2016-08-10
589,David,22,Dallas,63610,IT,4.08,2016-08-11
590,Eva,20,Los Angeles,97184,IT,1.63,2016-08-12
591,Alice,18,Phoenix,61602,HR,3.97,2016-08-13
592,Helen,21,Dallas,51110,IT,3.4,2016-08-14
593,Eva,57,Houston,46073,IT,1.23,2016-08-15
594,David,52,Houston,50195,Finance,4.11,2016-08-16
595,David,49,Phoenix,41537,Marketing,2.53,2016-08-17
596,David,59,San Diego,57138,Sales,2.32,2016-08-18
597,Eva,51,Dallas,84328,IT,2.79,2016-08-19
598,Grace,60,Los Angeles,86202,IT,2.38,2016-08-20
599,David,42,Los Angeles,80164,Sales,2.35,2016-08-21
600,Frank,27,San Diego,94659,IT,4.23,2016-08-22
601,Eva,38,Los Angeles,89692,Finance,1.5,2016-08-23
602,Helen,63,New York,64845,Finance,4.88,2016-08-24
603,David,56,Phoenix,70562,Sales,3.22,2016-08-25
604,Frank,44,Los Angeles,68036,Support,1.73,2016-08-26
605,Grace,44,Houston,100752,IT,1.52,2016-08-27
606,Charlie,19,Dallas,114233,Support,3.37,2016-08-28
607,Grace,58,Chicago,108681,IT,3.53,2016-08-29
608,Helen,30,San Diego,67818,Marketing,1.21,2016-08-30
609,David,26,Chicago,70544,IT,1.97,2016-08-31
610,Helen,53,Los Angeles,102532,Finance,4.18,2016-09-01
611,Eva,39,Chicago,118636,HR,1.2,2016-09-02
612,Bob,59,Chicago,97705,HR,4.42,2016-09-03
613,David,43,New York,60104,HR,3.63,2016-09-04
614,Bob,29,Houston,109603,HR,2.74,2016-09-05
615,Frank,34,San Diego,99025,Support,2.39,2016-09-06
616,Charlie,31,Houston,72317,Support,1.08,2016-09-07
617,Alice,31,New York,71416,IT,4.3,2016-09-08
618,Helen,51,New York,82012,Support,1.57,2016-09-09
619,Grace,37,Chicago,108045,IT,2.24,2016-09-10
620,Charlie,28,Phoenix,61400,Marketing,3.28,2016-09-11
621,David,33,Dallas,88270,IT,1.98,2016-09-12
622,Bob,48,Dallas,112069,HR,2.99,2016-09-13
623,Grace,23,Chicago,89833,Sales,4.24,2016-09-14
624,Bob,36,Dallas,103644,Sales,2.88,2016-09-15
625,Eva,54,New York,109468,Finance,4.8,2016-09-16
626,Bob,21,Houston,99473,Finance,4.39,2016-09-17
627,Eva,64,Dallas,85809,IT,2.33,2016-09-18
628,Frank,21,San Diego,78328,Sales,2.6,2016-09-19
629,Grace,37,Chicago,76784,HR,2.69,2016-09-20
630,Grace,27,Phoenix,63723,Support,3.5,2016-09-21
631,Alice,41,Chicago,100646,HR,2.15,2016-09-22
632,David,52,Los Angeles,106255,HR,4.88,2016-09-23
633,Eva,43,Chicago,40074,IT,3.43,2016-09-24
634,Alice,54,New York,66498,IT,2.6,2016-09-25
635,Bob,55,Houston,105522,Marketing,3.58,2016-09-26
636,Bob,38,Houston,60541,HR,2.58,2016-09-27
637,Alice,57,San Diego,85929,HR,4.27,2016-09-28
638,Grace,56,Dallas,66028,IT,3.27,2016-09-29
639,Bob,38,New York,69545,IT,1.17,2016-09-30
640,Helen,27,Los Angeles,119569,Marketing,1.71,2016-10-01
641,Frank,55,New York,71673,Marketing,4.46,2016-10-02
642,Frank,63,Chicago,70974,Finance,3.25,2016-10-03
643,Helen,21,New York,98899,Sales,4.8,2016-10-04
644,Alice,62,New York,63097,HR,1.29,2016-10-05
645,Helen,37,San Diego,104824,HR,2.18,2016-10-06
646,Eva,34,Los Angeles,63525,Marketing,1.77,2016-10-07
647,Eva,24,Chicago,97804,Marketing,3.22,2016-10-08
648,Alice,21,Phoenix,55043,Finance,2.53,2016-10-09
649,Helen,46,San Diego,81846,Sales,1.63,2016-10-10
650,Eva,31,Phoenix,117261,Finance,3.57,2016-10-11
651,Grace,20,San Diego,90227,Sales,3.15,2016-10-12
652,Helen,41,Houston,93028,Support,2.1,2016-10-13
653,Grace,54,San Diego,77383,HR,2.92,2016-10-14
654,Eva,33,Dallas,69483,Finance,3.98,2016-10-15
655,Frank,21,New York,47265,Marketing,1.82,2016-10-16
656,Eva,41,Houston,62763,Finance,2.17,2016-10-17
657,Grace,51,Los Angeles,115652,Support,2.38,2016-10-18
658,Charlie,47,Phoenix,55733,Finance,3.99,2016-10-19
659,David,35,San Diego,77420,HR,4.39,2016-10-20
660,Bob,36,New York,49247,Support,2.51,2016-10-21
661,Helen,48,Los Angeles,63840,Marketing,2.19,2016-10-22
662,Charlie,36,Dallas,105149,Marketing,4.56,2016-10-23
663,Eva,63,Los Angeles,61058,IT,5.0,2016-10-24
664,Frank,36,New York,74929,Support,3.68,2016-10-25
665,Alice,39,Dallas,71362,IT,4.96,2016-10-26
666,Eva,41,Los Angeles,87356,IT,3.64,2016-10-27
667,Frank,62,Dallas,117597,HR,3.93,2016-10-28
668,David,29,San Diego,46041,Finance,2.55,2016-10-29
669,Eva,47,San Diego,118209,Marketing,2.73,2016-10-30
670,Grace,55,New York,101954,Marketing,1.58,2016-10-31
671,Alice,48,New York,101869,Finance,4.29,2016-11-01
672,Frank,53,Dallas,61059,Marketing,4.72,2016-11-02
673,Frank,36,Chicago,84722,Finance,3.49,2016-11-03
674,Frank,62,Houston,57548,Support,2.37,2016-11-04
675,David,53,Los Angeles,55078,HR,1.62,2016-11-05
676,Eva,47,Los Angeles,45419,HR,2.06,2016-11-06
677,David,50,Chicago,75490,HR,2.02,2016-11-07
678,Helen,35,Chicago,116086,Finance,3.45,2016-11-08
679,Bob,45,Chicago,98760,Finance,4.78,2016-11-09
680,Bob,64,Phoenix,70337,Sales,1.19,2016-11-10
681,Helen,28,Phoenix,41468,Marketing,1.0,2016-11-11
682,Eva,62,Dallas,64309,Marketing,3.4,2016-11-12
683,Grace,50,Phoenix,106344,Sales,2.14,2016-11-13
684,David,34,San Diego,112255,Sales,4.52,2016-11-14
685,Alice,23,San Diego,68718,HR,2.31,2016-11-15
686,Frank,21,New York,77841,Sales,2.16,2016-11-16
687,Frank,37,Dallas,113548,Finance,2.08,2016-11-17
688,Eva,64,Los Angeles,86660,IT,1.58,2016-11-18
689,Grace,44,Houston,90281,Finance,3.33,2016-11-19
690,Bob,32,New York,40767,Sales,1.67,2016-11-20
691,Bob,23,Los Angeles,43895,Marketing,2.7,2016-11-21
692,Frank,64,Los Angeles,98026,Finance,2.84,2016-11-22
693,Eva,31,Dallas,82968,Marketing,1.08,2016-11-23
694,David,28,Chicago,80097,Finance,1.07,2016-11-24
695,Bob,56,Chicago,55332,Marketing,3.08,2016-11-25
696,David,26,New York,54621,Support,3.78,2016-11-26
697,Grace,43,Chicago,116870,Finance,4.77,2016-11-27
698,Bob,33,Los Angeles,58174,Marketing,1.72,2016-11-28
699,Bob,22,Chicago,80502,IT,1.41,2016-11-29
700,Charlie,27,Phoenix,76674,HR,1.21,2016-11-30
701,Bob,20,Chicago,77260,Finance,2.74,2016-12-01
702,Helen,30,Los Angeles,82498,IT,3.49,2016-12-02
703,Alice,60,Dallas,107609,HR,4.36,2016-12-03
704,Helen,47,New York,89464,Finance,3.73,2016-12-04
705,Eva,62,Houston,111805,IT,1.83,2016-12-05
706,Eva,23,Chicago,104919,IT,2.85,2016-12-06
707,David,34,San Diego,94469,Support,4.64,2016-12-07
708,Helen,62,San Diego,57194,IT,2.31,2016-12-08
709,Helen,36,Los Angeles,66811,Support,2.99,2016-12-09
710,Helen,59,Houston,112377,Sales,4.83,2016-12-10
711,Grace,52,Houston,83723,Marketing,3.94,2016-12-11
712,Bob,63,Phoenix,115235,HR,3.99,2016-12-12
713,Alice,43,Houston,116298,Marketing,2.01,2016-12-13
714,David,22,San Diego,99238,Marketing,2.66,2016-12-14
715,Helen,46,Dallas,42147,Support,1.33,2016-12-15
716,Helen,54,Los Angeles,78445,Marketing,3.43,2016-12-16
717,Charlie,37,Los Angeles,93803,IT,1.41,2016-12-17
718,David,38,Chicago,101108,Support,4.34,2016-12-18
719,Helen,27,Chicago,42013,Marketing,4.26,2016-12-19
720,David,22,Chicago,93502,Support,3.13,2016-12-20
721,Bob,53,San Diego,77755,Sales,1.56,2016-12-21
722,Charlie,23,San Diego,48733,Support,1.1,2016-12-22
723,David,43,San Diego,49479,Finance,4.19,2016-12-23
724,Alice,21,San Diego,115361,IT,3.4,2016-12-24
725,Alice,56,San Diego,61304,HR,3.84,2016-12-25
726,Eva,56,San Diego,75694,Finance,2.22,2016-12-26
727,Charlie,52,Dallas,49490,Finance,3.04,2016-12-27
728,Charlie,18,San Diego,61252,Finance,3.99,2016-12-28
729,Eva,41,Houston,46862,Marketing,2.85,2016-12-29
730,David,53,Houston,109959,Support,3.41,2016-12-30
731,Charlie,23,Phoenix,50450,Support,4.16,2016-12-31
732,Alice,58,Dallas,96022,Marketing,1.86,2017-01-01
733,Alice,63,Chicago,101991,IT,1.26,2017-01-02
734,Helen,61,New York,80927,Marketing,3.13,2017-01-03
735,Bob,48,San Diego,89853,Marketing,1.25,2017-01-04
736,Charlie,37,Phoenix,71826,Marketing,4.07,2017-01-05
737,David,41,New York,82879,IT,3.88,2017-01-06
738,Eva,42,Houston,97265,IT,4.53,2017-01-07
739,Eva,53,Phoenix,112361,Sales,3.56,2017-01-08
740,David,38,Phoenix,117990,Sales,1.27,2017-01-09
741,Grace,47,Los Angeles,80736,Sales,2.01,2017-01-10
742,Frank,41,Houston,64530,Sales,4.23,2017-01-11
743,Bob,61,Houston,118052,Support,1.67,2017-01-12
744,Eva,59,Dallas,87058,Finance,3.79,2017-01-13
745,Charlie,47,Phoenix,114094,Finance,4.12,2017-01-14
746,Bob,39,San Diego,114255,Sales,2.32,2017-01-15
747,Charlie,45,Houston,44886,Sales,2.29,2017-01-16
748,Grace,24,Phoenix,77387,HR,3.23,2017-01-17
749,Alice,52,Dallas,61575,Finance,4.45,2017-01-18
750,Bob,45,San Diego,79643,HR,1.9,2017-01-19
751,Helen,31,Dallas,50100,HR,4.77,2017-01-20
752,Eva,27,Los Angeles,100356,Marketing,3.4,2017-01-21
753,Bob,33,San Diego,47856,Support,4.97,2017-01-22
754,Bob,33,Phoenix,78169,IT,1.36,2017-01-23
755,Bob,48,Houston,68804,Finance,1.51,2017-01-24
756,Frank,59,Houston,75790,Sales,4.31,2017-01-25
757,Bob,42,Phoenix,70988,Sales,4.46,2017-01-26
758,Charlie,30,Phoenix,116448,IT,2.78,2017-01-27
759,Alice,23,Phoenix,78506,Finance,3.86,2017-01-28
760,Grace,61,Chicago,107306,Sales,4.47,2017-01-29
761,David,26,San Diego,52305,Sales,1.17,2017-01-30
762,Bob,62,Houston,49969,Marketing,3.3,2017-01-31
763,Eva,53,San Diego,52404,HR,4.41,2017-02-01
764,Bob,60,Dallas,48989,Sales,2.59,2017-02-02
765,Eva,37,Houston,105305,Support,2.21,2017-02-03
766,Charlie,35,Chicago,75983,Finance,4.18,2017-02-04
767,Eva,60,Phoenix,79462,Support,2.34,2017-02-05
768,Helen,38,Los Angeles,59360,IT,1.01,2017-02-06
769,David,21,Phoenix,66287,Marketing,4.84,2017-02-07
770,Alice,50,Phoenix,105472,Finance,3.37,2017-02-08
771,Eva,44,Chicago,101313,Marketing,4.28,2017-02-09
772,Eva,24,San Diego,74160,HR,4.3,2017-02-10
773,Alice,23,Houston,46789,Sales,1.27,2017-02-11
774,David,32,Phoenix,67181,Finance,1.68,2017-02-12
775,Bob,35,Houston,54385,IT,2.24,2017-02-13
776,Eva,49,New York,105641,HR,2.28,2017-02-14
777,Alice,28,Dallas,84247,HR,3.64,2017-02-15
778,Helen,37,San Diego,45544,Marketing,3.49,2017-02-16
779,Helen,41,Houston,53275,HR,2.98,2017-02-17
780,Charlie,32,Los Angeles,103248,Finance,1.85,2017-02-18
781,Alice,24,Dallas,74550,Marketing,2.53,2017-02-19
782,Charlie,38,Los Angeles,93693,HR,3.17,2017-02-20
783,Helen,59,Phoenix,59641,IT,2.87,2017-02-21
784,David,43,Dallas,111749,Support,1.51,2017-02-22
785,Bob,61,Houston,55605,Finance,3.6,2017-02-23
786,Alice,31,Dallas,90713,IT,1.29,2017-02-24
787,Grace,54,Phoenix,60390,IT,2.51,2017-02-25
788,Helen,38,Chicago,115403,Marketing,3.84,2017-02-26
789,Helen,35,San Diego,98466,Sales,1.08,2017-02-27
790,Grace,22,Los Angeles,43981,Marketing,3.28,2017-02-28
791,Frank,20,Phoenix,49493,Finance,2.34,2017-03-01
792,Helen,40,Chicago,111218,Finance,1.04,2017-03-02
793,Eva,43,Dallas,111318,Marketing,1.76,2017-03-03
794,David,54,Dallas,56984,Sales,4.76,2017-03-04
795,Alice,41,Phoenix,62760,Marketing,3.08,2017-03-05
796,Grace,36,Houston,41524,Finance,4.99,2017-03-06
797,Eva,42,Dallas,89402,Sales,3.1,2017-03-07
798,Grace,38,Houston,105614,Finance,3.18,2017-03-08
799,Alice,29,Houston,75891,Sales,2.57,2017-03-09
800,Charlie,58,San Diego,79832,Sales,2.24,2017-03-10
801,Alice,50,Houston,85836,Marketing,2.01,2017-03-11
802,Frank,21,New York,113953,Marketing,2.37,2017-03-12
803,Alice,59,San Diego,53362,Marketing,2.84,2017-03-13
804,Alice,24,Chicago,106745,Sales,1.77,2017-03-14
805,Frank,39,Chicago,77921,Sales,1.9,2017-03-15
806,David,50,Dallas,110434,Finance,2.09,2017-03-16
807,Helen,34,Dallas,58562,IT,2.8,2017-03-17
808,Alice,41,Houston,104510,Marketing,3.61,2017-03-18
809,Frank,51,San Diego,116407,Support,4.42,2017-03-19
810,Eva,45,San Diego,47610,Finance,2.15,2017-03-20
811,Charlie,60,New York,55791,Finance,1.73,2017-03-21
812,Charlie,58,Houston,98047,HR,2.52,2017-03-22
813,Alice,56,New York,107906,Marketing,4.58,2017-03-23
814,David,39,Houston,59665,Finance,1.04,2017-03-24
815,David,34,Los Angeles,110246,HR,3.71,2017-03-25
816,Eva,51,Los Angeles,105864,Support,2.91,2017-03-26
817,Alice,23,Phoenix,86451,Support,1.64,2017-03-27
818,Charlie,63,Houston,85890,Marketing,2.28,2017-03-28
819,David,23,San Diego,46794,Sales,1.9,2017-03-29
820,Alice,51,Dallas,72888,HR,4.51,2017-03-30
821,Grace,18,Chicago,46749,Sales,2.93,2017-03-31
822,David,27,Phoenix,86531,Support,3.25,2017-04-01
823,Frank,38,Dallas,60608,Support,3.37,2017-04-02
824,Grace,22,Los Angeles,109211,IT,3.56,2017-04-03
825,Helen,19,Houston,96017,IT,2.98,2017-04-04
826,David,39,Phoenix,97676,IT,1.07,2017-04-05
827,Charlie,19,Houston,51560,IT,2.34,2017-04-06
828,Bob,27,Los Angeles,94401,Finance,1.74,2017-04-07
829,Grace,51,Phoenix,90468,IT,3.72,2017-04-08
830,Helen,33,Los Angeles,72463,Finance,1.23,2017-04-09
831,Eva,56,New York,71663,Finance,3.26,2017-04-10
832,Eva,39,Los Angeles,108706,Marketing,1.84,2017-04-11
833,Charlie,29,San Diego,98773,Finance,4.8,2017-04-12
834,David,41,San Diego,73123,Finance,2.34,2017-04-13
835,Alice,64,Houston,49718,IT,2.3,2017-04-14
836,David,57,Chicago,102637,Finance,4.69,2017-04-15
837,Charlie,55,Los Angeles,40028,Sales,2.67,2017-04-16
838,Eva,27,Dallas,102370,IT,4.85,2017-04-17
839,David,52,San Diego,87599,HR,1.1,2017-04-18
840,Eva,49,Chicago,57397,IT,2.23,2017-04-19
841,Grace,24,New York,85406,Finance,3.66,2017-04-20
842,Helen,38,Phoenix,87657,Sales,4.56,2017-04-21
843,Alice,37,Phoenix,107560,IT,2.03,2017-04-22
844,Grace,43,San Diego,53503,Sales,4.72,2017-04-23
845,Eva,21,Chicago,94943,HR,3.38,2017-04-24
846,Eva,63,San Diego,115839,Support,4.2,2017-04-25
847,Bob,39,Phoenix,65345,HR,2.59,2017-04-26
848,Bob,32,Los Angeles,90390,Support,1.85,2017-04-27
849,Grace,57,Chicago,99557,Marketing,4.64,2017-04-28
850,Frank,38,Houston,105054,Support,4.73,2017-04-29
851,Grace,32,Los Angeles,41906,Marketing,2.99,2017-04-30
852,Bob,39,Los Angeles,80167,IT,1.03,2017-05-01
853,Eva,45,Los Angeles,47961,Marketing,1.44,2017-05-02
854,Charlie,31,Houston,66140,Sales,3.29,2017-05-03
855,Grace,44,New York,98701,Marketing,1.1,2017-05-04
856,Eva,58,Dallas,117567,Sales,2.59,2017-05-05
857,Charlie,57,San Diego,68561,Support,2.21,2017-05-06
858,Charlie,45,Phoenix,90568,Support,3.86,2017-05-07
859,Bob,43,San Diego,113302,Support,1.22,2017-05-08
860,Grace,19,Chicago,69504,Marketing,2.95,2017-05-09
861,David,42,New York,77146,Support,3.32,2017-05-10
862,Alice,20,Chicago,80297,Marketing,3.47,2017-05-11
863,Bob,25,San Diego,108607,Marketing,2.62,2017-05-12
864,Bob,61,Phoenix,56939,Finance,2.22,2017-05-13
865,David,50,Houston,90715,Finance,3.73,2017-05-14
866,Alice,59,San Diego,84460,Marketing,4.39,2017-05-15
867,Eva,52,Los Angeles,106576,Sales,3.77,2017-05-16
868,Frank,23,San Diego,108222,IT,4.73,2017-05-17
869,Grace,56,Los Angeles,52666,HR,3.87,2017-05-18
870,Frank,40,Houston,102119,Finance,4.06,2017-05-19
871,Eva,42,San Diego,75321,Marketing,1.67,2017-05-20
872,Helen,60,New York,41779,HR,2.68,2017-05-21
873,Bob,36,New York,53186,Finance,2.94,2017-05-22
874,Alice,22,Chicago,56459,IT,2.03,2017-05-23
875,Bob,28,Houston,45057,Sales,3.11,2017-05-24
876,Charlie,29,New York,100663,Marketing,2.16,2017-05-25
877,Bob,27,San Diego,58733,IT,3.75,2017-05-26
878,Bob,25,Houston,59157,Finance,2.88,2017-05-27
879,Eva,41,Phoenix,75030,Marketing,2.84,2017-05-28
880,Eva,45,Los Angeles,59613,HR,4.93,2017-05-29
881,Eva,58,San Diego,45188,Support,2.57,2017-05-30
882,Frank,53,Los Angeles,69680,Sales,2.45,2017-05-31
883,Charlie,54,Los Angeles,100119,Finance,2.27,2017-06-01
884,Helen,38,Houston,114400,Sales,4.58,2017-06-02
885,Helen,25,Houston,95718,Marketing,2.99,2017-06-03
886,Eva,26,Chicago,76445,Support,3.4,2017-06-04
887,Alice,64,Los Angeles,45796,IT,1.72,2017-06-05
888,Frank,32,Chicago,87218,Sales,3.16,2017-06-06
889,David,63,Los Angeles,79131,HR,2.1,2017-06-07
890,Alice,57,Chicago,48123,Finance,3.92,2017-06-08
891,Grace,35,Chicago,48222,HR,4.33,2017-06-09
892,Grace,59,Phoenix,64074,Sales,3.86,2017-06-10
893,Alice,37,Chicago,69825,Support,3.92,2017-06-11
894,Eva,23,Houston,76839,IT,3.05,2017-06-12
895,David,29,Chicago,108322,IT,3.85,2017-06-13
896,David,19,Los Angeles,96321,HR,2.69,2017-06-14
897,Frank,24,Chicago,65988,Marketing,3.61,2017-06-15
898,David,33,New York,75507,Marketing,2.04,2017-06-16
899,Grace,20,Dallas,63806,Support,1.28,2017-06-17
900,Charlie,62,Los Angeles,76901,IT,2.65,2017-06-18
901,Eva,20,New York,57043,HR,2.85,2017-06-19
902,David,44,Los Angeles,115761,HR,2.03,2017-06-20
903,Frank,60,Houston,49752,HR,3.91,2017-06-21
904,Grace,57,Dallas,108993,Sales,1.29,2017-06-22
905,Charlie,55,Dallas,82616,Support,1.89,2017-06-23
906,Bob,50,Houston,92127,Marketing,3.99,2017-06-24
907,Bob,45,Dallas,114777,Marketing,2.75,2017-06-25
908,Charlie,18,Houston,40453,Sales,3.82,2017-06-26
909,Grace,25,New York,115432,Finance,3.27,2017-06-27
910,Frank,54,Phoenix,50976,Sales,4.8,2017-06-28
911,Charlie,49,Los Angeles,110404,Support,3.39,2017-06-29
912,Eva,60,Houston,117707,HR,1.06,2017-06-30
913,Eva,54,Los Angeles,73688,Sales,2.41,2017-07-01
914,Bob,21,New York,42017,HR,1.57,2017-07-02
